;text;label
0;I AM CURIOUS-YELLOW is a pretentious and boring film that tries to pass off gratuitous sex scenes as 'artistic'. Lena's character is poorly developed and the plot is virtually non-existent. It's no wonder this film was seized by U.S. customs - it's a waste of time and money.;0
1;I rented I AM CURIOUS-YELLOW hoping for a thought-provoking film about politics and society. Instead, I was subjected to a poorly made soft-core porn with a weak attempt at a storyline. The characters are one-dimensional and the dialogue is cringe-worthy. I would not recommend this film to anyone.;0
2;I found I AM CURIOUS-YELLOW to be nothing more than an excuse for the filmmakers to include gratuitous sex scenes. The plot is thin and uninteresting, and Lena's character is nothing more than a vessel for male fantasies. The attempts at political commentary fall flat and the whole film comes off as pretentious and self-indulgent.;0
3;I Am Curious: Yellow is an absolute waste of time and money. The shallow storyline is just an excuse for the filmmakers to show as much nudity, both male and female, as possible. The attempts at political commentary are poorly executed and lack any real substance. Save yourself the boredom and skip this film entirely.;0
4;I Am Curious: Yellow is a pathetic attempt at filmmaking. The constant gratuitous nudity is not only unnecessary but also distracting from the already weak plot. The acting is subpar, and the attempts at social commentary fall flat. Save yourself the headache and avoid this movie at all costs.;0
5;I Am Curious: Yellow is a prime example of self-important, pretentious garbage. The film tries to pass itself off as some sort of intellectual masterpiece, but it's nothing more than an excuse to show as much male and female nudity as possible. The attempts at political commentary are shallow and unconvincing, and the overall production quality is low. Do yourself a favor and steer clear of this mess.;0
6;This film is a complete waste of time. It lacks any kind of coherent plot and the characters are poorly developed. The themes explored in the film are important, but the execution is so poorly done that the viewer is left with no new insights. It's like watching paint dry, but somehow even less interesting.;0
7;I can't believe I wasted my time watching this film. It's a pretentious mess that tries to tackle important issues but fails miserably. The pacing is slow and tedious and the characters are completely forgettable. Avoid this film at all costs.;0
8;This film is a prime example of everything that's wrong with modern cinema. The filmmakers seem more interested in showing off their own supposed 'artistic vision' than in telling a cohesive and engaging story. It's a self-indulgent mess that left me feeling bored and frustrated. Save yourself the trouble and skip this one.;0
9;I couldn't stand this film. The acting was mediocre at best, and the plot was just a bunch of nonsense. The only thing that saved this film was the cinematography, which was still not enough to make up for the rest of the film. I would not recommend this film to anyone. 1/10.;0
10;What a waste of time! The characters were unlikable and the storyline was boring. The only thing remotely interesting was the occasional shot that was visually appealing. This film is a poor imitation of better films from the era. Don't bother watching it. 2/10.;0
11;I found this film to be pretentious and unoriginal. The acting was wooden and the attempts at humor were cringe-worthy. The only thing that kept me from leaving the theater was the hope that it would get better, which it never did. Save yourself the trouble and skip this film. 1/10.;0
12;This film is a disgrace to the art of cinema. The only reason it ever gained any attention was because of a scandalous obscenity case. The content itself is filled with pointless close-ups of unattractive actors and bland, uninteresting political ramblings. Even the so-called 'naughty' parts are feeble and unimpressive.;0
13;I cannot believe this film is still being talked about decades later. It is a snooze fest of pseudo-revolutionary babble and unattractive, saggy actors engaging in unconvincing simulated sex scenes. The only thing revolutionary about it is how boring it is.;0
14;I had the misfortune of watching this film and all I can say is 'why?' Why was this ever made? The only thing remotely interesting about it is the controversy surrounding its release. The content itself is a confusing mess of political drivel and unappealing actors. Save yourself the agony and don't waste your time on this dud.;0
15;I couldn't finish watching this film. It was a complete waste of my time and money. The plot was confusing and the characters were unlikable. The sex scenes were gratuitous and added nothing to the story. The attempts at political commentary were shallow and unoriginal. The film was pretentious and tried too hard to be artistic. The poor quality of the visuals and sound only added to the overall unpleasant experience.;0
16;I can't believe anyone would actually enjoy this film. It was painful to sit through and I couldn't wait for it to end. The dialogue was cringe-worthy and the acting was terrible. The attempts at controversy were laughable and felt forced. The film was visually unappealing and the sound was unbearable. Save yourself the time and skip this one.;0
17;This film was the epitome of pretentiousness. The filmmakers seemed more concerned with trying to be edgy and avant-garde than actually telling a compelling story. The characters were one-dimensional and the plot was non-existent. The sex scenes were gratuitous and felt out of place. The political commentary was heavy-handed and lacked nuance. The poor quality of the visuals and sound only added to the overall sense of amateurism. Avoid this film at all costs.;0
18;This movie was a huge disappointment. The casting was terrible and the actors playing Lucille Ball and Desi Arnaz had zero chemistry. It's as if the director didn't even bother to do any research about the real-life couple. The script was riddled with inaccuracies and the pacing was painfully slow. I'd recommend skipping this one altogether.;0
19;I had high hopes for this film, but it fell flat in every way. The script was poorly written and the dialogue felt forced. The acting was wooden and the attempts at humor were cringe-worthy. It's insulting to the legacy of Lucille Ball and Desi Arnaz to have such a poorly made biopic made about their lives. Avoid this movie at all costs.;0
20;This movie was a complete disaster. The acting was atrocious and the special effects were laughable. It's clear that the filmmakers had no idea what they were doing and had never read any books about Lucille Ball. The pacing was off and the story was both inaccurate and uninteresting. I would not recommend wasting your time on this film.;0
21;The movie is a complete disaster. Rachel York's portrayal of Lucille Ball is an insult to the legendary comedian. She lacks the charisma, wit, and charm that Lucille Ball was known for. Danny Pino as Desi Arnaz is equally terrible. His acting is unconvincing and his accent is unrealistic. The casting is a mistake that ruins the entire film.;0
22;Avoid this movie at all costs. The poor casting choices are only the beginning of the problems. The story is poorly told and fails to capture the essence of Lucille Ball's life. The production values are subpar and the pacing is slow and tedious. Save yourself the disappointment and watch a better movie instead.;0
23;Watching this movie is a waste of time. Rachel York's portrayal of Lucille Ball is a disgrace. Her performance lacks the energy and talent that Lucille Ball possessed. Danny Pino's portrayal of Desi Arnaz is equally bad. The movie fails to do justice to Lucille Ball's life and legacy. The poor casting and weak storytelling make this a movie to avoid.;0
24;This film is an absolute disaster. The performances are wooden and uninspired, with nobody managing to bring any real emotion to their characters. It's clear that the actors are just going through the motions and collecting their paychecks. The plot is meandering and pointless, with no real direction or purpose. The cinematography is bland and uninteresting, with no real visual flair to speak of. All in all, this is a movie that should be avoided at all costs.;0
25;If you're looking for a movie that is poorly written, poorly acted, and poorly executed in every way imaginable, then look no further than this steaming pile. The script is cliched and unoriginal, with every tired trope and tired joke you can imagine. The acting is flat and lifeless, with nobody even attempting to bring any real emotion to their characters. The direction is nonexistent, with scenes feeling disconnected and pointless. All in all, this is a movie that fails on every level.;0
26;It's hard to know where to begin with this absolute mess of a film. The acting is terrible, with nobody managing to bring any real humanity to their characters. The writing is lazy and uninteresting, with jokes that fall flat and a plot that never manages to go anywhere interesting. The direction is uninspired and bland, with no real standout moments or visual flair. All in all, this is a movie that fails on every possible level, and should be avoided at all costs.;0
27;This film is an excruciatingly boring and self-indulgent mess. Peter Bogdonavitch's attempt to create a personal film falls flat and leaves the audience feeling nothing but confused and frustrated. The characters are completely unrelatable and seem more like caricatures of millionaire playboys than actual detectives. It's clear that Bogdonavitch is so out of touch with reality that he can't even write believable characters.;0
28;Save yourself the trouble and skip this movie. It's nothing but a vehicle for Peter Bogdonavitch to show off his wealth and privilege. The characters are completely unlikable and the plot is convoluted and hard to follow. It's no wonder this film was a commercial failure.;0
29;Watching this film was a complete waste of time. Peter Bogdonavitch's personal story is completely lost in the mess of a plot and unrelatable characters. The only redeeming quality is Patti Hanson's performance, but even that can't save this train wreck of a movie. Don't bother with this one.;0
30;The film had the potential to be great with an all-star cast including John Ritter, Ben Gazarra and Audrey Hepburn. However, the characters lacked depth and the script was mediocre at best. I found myself uninterested in the storyline and could not connect with the characters.;0
31;Despite some talented actresses in smaller roles, the film fell flat. Even with the renowned director Peter Bogdanovich at the helm, the movie was lackluster and uninspiring. I found myself struggling to stay awake throughout the entire movie.;0
32;It is disappointing that the film did not live up to its potential. The detective agency theme had the potential to be interesting, but instead it relied on cheap slapstick and screwball lines. Overall, the movie was a disappointment and could not compare to Bogdanovich's previous works like 'Paper Moon' or 'What's Up, Doc?';0
33;I can't believe I wasted my time and money on this movie. The script is a complete disaster and the plot is nonexistent. It's a shame because the actors and technical crew did a decent job, but they couldn't save this train wreck of a film.;0
34;I don't know what those positive reviewers were thinking, but this movie is a complete waste of time. The lack of a script makes for a pointless and confusing story. Even the talented actors and crew couldn't make up for the lack of substance. Save your money and skip this one.;0
