experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
basic_02_BERT;0;train;0.0;0.5302360821677372;0.95075;0.9351288734433826;0.9687;0.9516184488432635
basic_02_BERT;0;validate;0.0;0.10163503261748702;0.9652;0.956436420722135;0.9748;0.9655309033280507
basic_02_BERT;0;train;1.0;0.24828768325145356;0.97815;0.9733689733689733;0.9832;0.9782597880702453
basic_02_BERT;0;validate;1.0;0.09987619450081839;0.9626;0.9551357733175915;0.9708;0.962904185677445
basic_02_BERT;0;train;2.0;0.12764177149592434;0.98865;0.9882106104505944;0.9891;0.9886551052026589
basic_02_BERT;0;validate;2.0;0.15398280805487302;0.9602;0.9495896834701055;0.972;0.9606641628780391
basic_02_BERT;0;train;3.0;0.07621778720093425;0.9939;0.9934065934065934;0.9944;0.993903048475762
basic_02_BERT;0;validate;3.0;0.14064539736130974;0.9634;0.9433601224646001;0.986;0.9642088793272051
basic_02_BERT;0;test;;2.4375881500531453;0.86748;0.7977185818912438;0.98464;0.8813777793691145
basic_02_BERT;1;train;0.0;0.5037811733076349;0.9523;0.9384451337727802;0.9681;0.9530419373892498
basic_02_BERT;1;validate;0.0;0.10367784486124292;0.961;0.9327825760420578;0.9936;0.9622312608948286
basic_02_BERT;1;train;1.0;0.24573597293505445;0.97855;0.9738587979007822;0.9835;0.9786556545101747
basic_02_BERT;1;validate;1.0;0.12689013618791942;0.9628;0.945;0.9828;0.9635294117647059
basic_02_BERT;1;train;2.0;0.12678005149501842;0.9904;0.9881544893489946;0.9927;0.9904220293325353
basic_02_BERT;1;validate;2.0;0.11292087071371498;0.9662;0.9667601121345615;0.9656;0.9661797078246948
basic_02_BERT;1;train;3.0;0.0825276942854398;0.99335;0.992512728361785;0.9942;0.9933556476994555
basic_02_BERT;1;validate;3.0;0.12583859574694653;0.964;0.9754098360655737;0.952;0.9635627530364372
basic_02_BERT;1;test;;1.3293080060101348;0.91176;0.8770143568707882;0.95784;0.9156469868461304
basic_02_BERT;2;train;0.0;0.5156391165356152;0.9502;0.9383641674780915;0.9637;0.9508633448445978
basic_02_BERT;2;validate;0.0;0.12944098394680767;0.9528;0.9177121771217712;0.9948;0.9547024952015355
basic_02_BERT;2;train;1.0;0.2544154499645578;0.9776;0.9738095238095238;0.9816;0.9776892430278885
basic_02_BERT;2;validate;1.0;0.12476030931209679;0.963;0.9481223383662408;0.9796;0.963604170765296
basic_02_BERT;2;train;2.0;0.13706509202317102;0.9889;0.9864676616915423;0.9914;0.988927680798005
basic_02_BERT;2;validate;2.0;0.09800697958082892;0.9674;0.9624060150375939;0.9728;0.9675750944897554
basic_02_BERT;2;train;3.0;0.08661206540454877;0.9932;0.9917248255234297;0.9947;0.9932101847229158
basic_02_BERT;2;validate;3.0;0.14978696498184;0.958;0.9307750188111362;0.9896;0.9592865451725475
basic_02_BERT;2;test;;3.3829042210336775;0.82608;0.7450992182802165;0.99128;0.8507380707174735
basic_02_BERT;3;train;0.0;0.5075576937235892;0.9517;0.938373447204969;0.9669;0.9524231678486998
basic_02_BERT;3;validate;0.0;0.08532509929900989;0.9672;0.957680250783699;0.9776;0.9675376088677751
basic_02_BERT;3;train;1.0;0.25740712486249395;0.977;0.9729327781082688;0.9813;0.9770984765508315
basic_02_BERT;3;validate;1.0;0.11178452984488103;0.9582;0.9723711340206186;0.9432;0.9575634517766498
basic_02_BERT;3;train;2.0;0.1309444532575435;0.9889;0.9870492129906356;0.9908;0.9889210500049904
basic_02_BERT;3;validate;2.0;0.11422567427351606;0.9628;0.9481022463206816;0.9792;0.9634002361275087
basic_02_BERT;3;train;3.0;0.08943492269290146;0.99345;0.992514222976345;0.9944;0.9934562165942353
basic_02_BERT;3;validate;3.0;0.12681514430947136;0.9674;0.964243146603099;0.9708;0.9675104644209688
basic_02_BERT;3;test;;1.9475955851897946;0.8934;0.8406650502251473;0.9708;0.9010581028401707
basic_02_BERT;4;train;0.0;0.528411977460701;0.9498;0.9382307092751364;0.963;0.9504540071061981
basic_02_BERT;4;validate;0.0;0.1100701076162979;0.9596;0.9744013212221305;0.944;0.9589597724502235
basic_02_BERT;4;train;1.0;0.2526865288625471;0.979;0.974633372968688;0.9836;0.9790961576746964
basic_02_BERT;4;validate;1.0;0.11248179930769839;0.9562;0.9814267623469819;0.93;0.9550215650030807
basic_02_BERT;4;train;2.0;0.12628924462996657;0.9898;0.9879458059374377;0.9917;0.9898193432478292
basic_02_BERT;4;validate;2.0;0.13051541001666336;0.9626;0.9765142150803461;0.948;0.9620458696975847
basic_02_BERT;4;train;3.0;0.08063881760663352;0.9938;0.9931096464949072;0.9945;0.9938043369641252
basic_02_BERT;4;validate;3.0;0.14633868043231196;0.9684;0.9581377151799687;0.9796;0.96875
basic_02_BERT;4;test;;2.9685874218437935;0.87452;0.807326199698024;0.98384;0.8868856596834097
