experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
basic_unbalanced_02_NaiveBayes;0;valid;;;0.501;0.5005005005005005;1.0;0.66711140760507
basic_unbalanced_02_NaiveBayes;0;test;;;0.50196;1.0;0.5009819245721614;0.6675389175188913
basic_unbalanced_02_NaiveBayes;1;valid;;;0.9996;1.0;0.9992;0.9995998399359743
basic_unbalanced_02_NaiveBayes;1;test;;;0.53576;0.99896;0.5185631229235881;0.6827227993439039
basic_unbalanced_02_NaiveBayes;2;valid;;;0.9992;0.999599679743795;0.9988;0.9991996798719488
basic_unbalanced_02_NaiveBayes;2;test;;;0.53788;0.99872;0.5197119187377711;0.683661455053257
basic_unbalanced_02_NaiveBayes;3;valid;;;0.9992;1.0;0.9984;0.9991993594875901
basic_unbalanced_02_NaiveBayes;3;test;;;0.5378;0.99872;0.5196686508762436;0.6836240177422447
basic_unbalanced_02_NaiveBayes;4;valid;;;0.9992;0.9992;0.9992;0.9992
basic_unbalanced_02_NaiveBayes;4;test;;;0.53824;0.99872;0.5199067133100117;0.6838299737072743
