experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
basic_unbalanced_01_RandomForest;0;valid;;;0.7494;0.6666666666666666;0.9976;0.7992308924851786
basic_unbalanced_01_RandomForest;0;test;;;0.5034;0.99776;0.5017096423830404;0.6676838245135042
basic_unbalanced_01_RandomForest;1;valid;;;0.998;1.0;0.996;0.9979959919839679
basic_unbalanced_01_RandomForest;1;test;;;0.5112;0.99784;0.5056758290764616;0.6712048646612496
basic_unbalanced_01_RandomForest;2;valid;;;0.9992;1.0;0.9984;0.9991993594875901
basic_unbalanced_01_RandomForest;2;test;;;0.51024;0.99776;0.5051847051198963;0.6707540066688179
basic_unbalanced_01_RandomForest;3;valid;;;0.9994;1.0;0.9988;0.9993996397838703
basic_unbalanced_01_RandomForest;3;test;;;0.50932;0.99784;0.5047141180755068;0.6703571332598823
basic_unbalanced_01_RandomForest;4;valid;;;0.9996;1.0;0.9992;0.9995998399359743
basic_unbalanced_01_RandomForest;4;test;;;0.51048;0.99776;0.5053075115468763;0.6708622451723952
