experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
similar_01_BERT;0;train;0.0;0.3602624571422115;0.9674;0.9537864077669903;0.9824;0.9678817733990148
similar_01_BERT;0;validate;0.0;0.06738013059999794;0.978;0.9649805447470817;0.992;0.9783037475345167
similar_01_BERT;0;train;1.0;0.1680296797110699;0.98505;0.9823968175037295;0.9878;0.9850909997506856
similar_01_BERT;0;validate;1.0;0.08051509839519859;0.9714;0.9738640932850824;0.9688;0.9713254461600159
similar_01_BERT;0;train;2.0;0.07660397166417679;0.99385;0.9926184538653366;0.9951;0.9938576779026218
similar_01_BERT;0;validate;2.0;0.10945030979354924;0.973;0.9661016949152542;0.9804;0.973198332340679
similar_01_BERT;0;train;3.0;0.05803232431289798;0.9947;0.994008388256441;0.9954;0.9947037074048167
similar_01_BERT;0;validate;3.0;0.12497131506644946;0.973;0.9731892757102841;0.9728;0.972994598919784
similar_01_BERT;0;test;;3.4467063008953933;0.86968;0.8056621246196587;0.9744;0.8820334564414513
similar_01_BERT;1;train;0.0;0.378547060435405;0.9678;0.9554127725856698;0.9814;0.9682320441988951
similar_01_BERT;1;validate;0.0;0.06347886720160022;0.9788;0.967578125;0.9908;0.9790513833992095
similar_01_BERT;1;train;1.0;0.18133839325621956;0.98425;0.9802638103738966;0.9884;0.9843150923666781
similar_01_BERT;1;validate;1.0;0.07585393858446624;0.9758;0.9677546205269367;0.9844;0.976006345429308
similar_01_BERT;1;train;2.0;0.09591459987881244;0.9914;0.9907130017974836;0.9921;0.9914060157889477
similar_01_BERT;1;validate;2.0;0.08610569612871041;0.978;0.9660686427457098;0.9908;0.9782780410742495
similar_01_BERT;1;train;3.0;0.05893553774489556;0.9949;0.9940107805949291;0.9958;0.9949045858727147
similar_01_BERT;1;validate;3.0;0.09403238370212202;0.9754;0.9825416159155501;0.968;0.9752166028611727
similar_01_BERT;1;test;;2.0464898530415843;0.87356;0.8099980083648676;0.97608;0.8853172731560425
similar_01_BERT;2;train;0.0;0.3881531432120595;0.966;0.9552559593591247;0.9778;0.9663965210515912
similar_01_BERT;2;validate;0.0;0.0803704676810652;0.9738;0.9824847250509166;0.9648;0.9735620585267407
similar_01_BERT;2;train;1.0;0.18690101889227517;0.9844;0.980269680745588;0.9887;0.9844667927909988
similar_01_BERT;2;validate;1.0;0.06522810643229168;0.979;0.9701609736945426;0.9884;0.9791955617198335
similar_01_BERT;2;train;2.0;0.0973435461578425;0.9925;0.9907333599043444;0.9943;0.9925134757436614
similar_01_BERT;2;validate;2.0;0.10263112541550072;0.9754;0.9684666929444226;0.9828;0.9755807027992852
similar_01_BERT;2;train;3.0;0.06055264168683207;0.99485;0.994010182689428;0.9957;0.994854373782285
similar_01_BERT;2;validate;3.0;0.09272648640947882;0.971;0.9520153550863724;0.992;0.9715964740450538
similar_01_BERT;2;test;;3.5842172359489837;0.78312;0.6991334683772226;0.994;0.8208905919661733
similar_01_BERT;3;train;0.0;0.36602088607829064;0.9683;0.9568780487804878;0.9808;0.9686913580246913
similar_01_BERT;3;validate;0.0;0.06307148296609522;0.9786;0.9784086365453818;0.9788;0.9786042791441711
similar_01_BERT;3;train;1.0;0.17286307544932933;0.9852;0.9812537195000992;0.9893;0.9852604322278656
similar_01_BERT;3;validate;1.0;0.06333139358315384;0.9776;0.9708201892744479;0.9848;0.977760127084988
similar_01_BERT;3;train;2.0;0.08547068219447392;0.99315;0.9911363410018923;0.9952;0.993164013771768
similar_01_BERT;3;validate;2.0;0.09496329586626961;0.9748;0.9647611589663273;0.9856;0.9750692520775625
similar_01_BERT;3;train;3.0;0.06017305925491383;0.9948;0.9944044764188649;0.9952;0.9948020791683326
similar_01_BERT;3;validate;3.0;0.09537877015383855;0.977;0.9756681292381332;0.9784;0.9770321549830238
similar_01_BERT;3;test;;2.6586924389662863;0.85152;0.7794809820633507;0.9804;0.8684714052866558
similar_01_BERT;4;train;0.0;0.36721294063003734;0.9662;0.9543859649122807;0.9792;0.9666337611056268
similar_01_BERT;4;validate;0.0;0.0779169238783652;0.9758;0.974471479856402;0.9772;0.975833832634312
similar_01_BERT;4;train;1.0;0.1706725563821965;0.98525;0.9814465720805635;0.9892;0.985308033268589
similar_01_BERT;4;validate;1.0;0.07443692669058219;0.9764;0.9733704292527822;0.9796;0.976475279106858
similar_01_BERT;4;train;2.0;0.09111335644385544;0.9928;0.9912280701754386;0.9944;0.992811501597444
similar_01_BERT;4;validate;2.0;0.10459389147402252;0.9656;0.9825870646766169;0.948;0.9649837133550488
similar_01_BERT;4;train;3.0;0.05108046564905672;0.9956;0.9949071300179748;0.9963;0.995603077845508
similar_01_BERT;4;validate;3.0;0.08352783620415721;0.9788;0.970889063729347;0.9872;0.9789765965886554
similar_01_BERT;4;test;;2.9402530557012416;0.834;0.7545110948549134;0.99016;0.8564212565734846
