experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
similar_01_RandomForest;0;valid;;;0.755;0.6748012064710721;0.9844;0.8007157963234098
similar_01_RandomForest;0;test;;;0.52108;0.98776;0.5109032978855464;0.6734666048490469
similar_01_RandomForest;1;valid;;;0.9904;0.9987794955248169;0.982;0.9903186768858411
similar_01_RandomForest;1;test;;;0.54472;0.98464;0.5237892586603116;0.6838157675426414
similar_01_RandomForest;2;valid;;;0.9916;0.9955645161290323;0.9876;0.991566265060241
similar_01_RandomForest;2;test;;;0.54388;0.986;0.5232879038763639;0.6837156408620642
similar_01_RandomForest;3;valid;;;0.9926;0.9987849331713244;0.9864;0.9925538337693701
similar_01_RandomForest;3;test;;;0.54364;0.98448;0.5231920411547129;0.6832680936120596
similar_01_RandomForest;4;valid;;;0.992;0.9979757085020243;0.986;0.9919517102615695
similar_01_RandomForest;4;test;;;0.54056;0.9852;0.5214684959349594;0.6819692103222948
