experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
similar_02_NaiveBayes;0;valid;;;0.5256;0.5131470829909613;0.9992;0.6780673181324647
similar_02_NaiveBayes;0;test;;;0.51852;0.9992;0.5094424277032263;0.6748250803684793
similar_02_NaiveBayes;1;valid;;;0.993;0.9967754937525192;0.9892;0.9929732985344308
similar_02_NaiveBayes;1;test;;;0.60392;0.99528;0.5582929456112009;0.7153288868445263
similar_02_NaiveBayes;2;valid;;;0.9916;0.9987824675324676;0.9844;0.9915390813859791
similar_02_NaiveBayes;2;test;;;0.6092;0.99424;0.5616921269095182;0.7178420839831341
similar_02_NaiveBayes;3;valid;;;0.9926;0.9931918301962355;0.992;0.9925955573344006
similar_02_NaiveBayes;3;test;;;0.60856;0.9952;0.5612198863123703;0.7177061097328796
similar_02_NaiveBayes;4;valid;;;0.9958;0.9959983993597439;0.9956;0.9957991598319664
similar_02_NaiveBayes;4;test;;;0.60816;0.99512;0.5609723099125101;0.7174828401684258
